Price,Close,High,Low,Open,Volume
Ticker,UNP,UNP,UNP,UNP,UNP
Date,,,,,
2023-05-19,190.1080780029297,191.14952700305693,188.46468390218854,190.23229259935553,1798800
2023-05-22,189.45835876464844,192.95534958805948,187.34679808009682,192.05721389884894,1744000
2023-05-23,187.6334228515625,189.36280480913285,186.18111814996604,189.36280480913285,2434100
2023-05-24,183.36251831054688,187.26080081889918,182.78923589669193,187.05059823909755,2970800
2023-05-25,184.60459899902344,185.19698006632112,182.21594685130611,182.55034940448112,2467500
2023-05-26,184.49952697753906,185.31166008903787,183.53450202616432,184.95814418045475,2287400
2023-05-30,186.8081817626953,187.27953622546653,183.94161331640157,184.797736747724,2453400
2023-05-31,185.19212341308594,186.52921531418306,183.83578866131276,185.7211917217203,3569300
2023-06-01,188.23182678222656,188.59736754242311,184.9323898884318,185.1344031185388,2713800
2023-06-02,191.098388671875,193.0799763435677,189.38614215878175,189.67471148728666,2522700
2023-06-05,191.1657257080078,192.5990170456685,190.6270433652071,191.17535447141046,2140600
2023-06-06,188.8859405517578,190.20378947952784,187.73161914452913,189.54005063392327,2341900
2023-06-07,193.79183959960938,193.97459530492424,186.74083944191497,188.828241025719,2582800
2023-06-08,193.3397216796875,194.19584501710176,190.01141322262004,193.80144732690133,2180700
2023-06-09,192.06997680664062,194.0996646516283,191.14652542084247,194.0996646516283,1806800
2023-06-12,191.38699340820312,192.031489441659,188.41459690072057,191.96414680571888,2096400
2023-06-13,191.35812377929688,191.9449059468876,187.19294941160499,189.87674723117937,3577800
2023-06-14,195.02310180664062,197.2355450410732,191.7236504477728,192.52205987468253,3259400
2023-06-15,198.08206176757812,198.96704203053233,195.02310920723596,195.41749221497014,2288600
2023-06-16,196.87962341308594,199.02473858862953,196.6968530537451,198.5149132062536,4139800
2023-06-20,193.71487426757812,196.46601462514167,193.36857636669623,195.2154936120685,2412600
2023-06-21,195.89845275878906,196.3986640794672,192.51244528433384,192.83950032254947,2191200
2023-06-22,195.62913513183594,195.89847633430907,194.1862295423036,195.87924816127148,1809300
2023-06-23,192.28158569335938,194.30165925773315,191.48317622469713,194.19584560097084,7413900
2023-06-26,193.66680908203125,194.12853480636468,192.21428926277596,192.5702013129917,1764800
2023-06-27,195.25396728515625,195.63875089024785,193.02228108759974,193.9649752335852,2433900
